"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Hasan_10Mei2020","Rt_Hasan_13Mei2020","Rt_Hasan_1Juni2020","Rt_Hasan_12Juni2020","Rt_Hasan_3Juli2020","Rt_Hasan_20Agustus2020","Rt_Hasan_1September2020","Rt_Hasan_1Oktober2020","Rt_Hasan_19Oktober2020"
"KAB. BANDUNG BARAT",34,36,42,33,24,68,94,106,140,204,6,1.07110773011632,0.886183060930404,0.73602805728875,0.456327681320194,0.861907958337855,0.698293167152109,1.54783712063314,2.96539160682438,0.979059837787549
"KAB. BANDUNG",56,60,66,47,45,164,150,161,182,625,15,0.62088153159889,0.795506240188149,0.56313213040549,0.389442683459776,0.438284177159555,0.433933768956566,0.702139635261866,1.13114419505748,1.24530747018597
"KAB. BEKASI",106,122,131,88,48,177,576,1109,1081,2589,51,0.968751970483671,1.28728180785803,0.540722824259468,1.07839329473377,0.245476794069265,0.939970911182678,0.948318129623932,1.60023368560984,0.733140058445006
"KAB. BOGOR",136,131,172,215,276,394,509,1200,1457,1227,16,0.704363897445358,0.558270330773738,0.65890738375034,0.452083665972972,0.783595688179164,0.696323400223088,0.892318923969153,1.53461054200772,1.05865430298396
"KAB. CIAMIS",4,4,5,8,10,3,7,54,51,84,5,0.78048710495215,0.72569504354577,0.785791809643613,0.880847412385346,0.913061569017816,0.566879216390498,1.40803208196635,2.56908818597918,0.265792837190138
"KAB. CIANJUR",7,10,14,15,21,26,32,29,20,82,2,1.31652187772215,1.7188769411777,1.03276298197969,0.658778268122762,0.773765963448983,0.984789612053335,1.34082180474913,0.891472177752611,0.657337392581963
"KAB. CIREBON",8,6,11,16,17,46,52,387,226,793,58,1.07125289014301,0.882555788611342,1.13595591824381,1.3294657364934,0.877891727494217,0.635063821563041,0.721521703708677,1.32008172374026,0.647103122221402
"KAB. GARUT",12,12,9,12,9,37,37,81,58,231,13,0.90106706993775,0.77796298372453,0.634560317112227,0.971171888393444,0.538996207989334,1.16266248677253,0.720942386899365,2.04931656320716,0.785273378898655
"KAB. INDRAMAYU",7,8,14,16,27,9,10,40,18,140,7,1.0090997244897,0.994070687278769,0.893319244706237,1.00399990065925,0.833370148876985,0.737638777437334,0.740551144770377,0.985920424639179,0.379755655006521
"KAB. KARAWANG",0,0,0,0,14,46,103,303,362,779,37,0.271175799666681,0.271175799666681,1.19142494423752,1.13353687105324,1.41867470713235,1.20434461393528,2.16744547704303,1.23390832233747,0.809081210257633
"KAB. KUNINGAN",3,3,11,10,9,17,40,190,495,300,7,0.717848827023698,0.690859210597635,0.90607565606636,0.56860398427122,0.888053515810951,0.435404733434812,1.48252392917572,3.73347686013322,0.437652790070982
"KAB. MAJALENGKA",1,0,3,4,1,21,29,29,60,134,8,0.148436016222056,0.150118874076973,0.63382662272245,0.716888504073627,0.413512527145347,1.19900098568598,2.33636741072563,1.17705020350841,0.250305927575168
