"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Susanto_10Mei2020","Rt_Susanto_13Mei2020","Rt_Susanto_1Juni2020","Rt_Susanto_12Juni2020","Rt_Susanto_3Juli2020","Rt_Susanto_20Agustus2020","Rt_Susanto_1September2020","Rt_Susanto_1Oktober2020","Rt_Susanto_19Oktober2020"
"KAB. BANDUNG BARAT",-0.259857246328423,-0.257920404040676,-0.228990735786463,-0.298505058520001,-0.361502633917786,-0.269047921554481,-0.281949589463664,-0.460518097968181,-0.421517055911708,-0.505739189027315,-0.559121490415512,-0.359447490206546,-0.440575600046784,-0.289594638623599,-0.452542781893439,-0.232283846822577,-0.59028260405724,-0.205249179814858,1.03478575068773,0.0785534198765519
"KAB. BANDUNG",-0.0565216171904505,-0.0458751706791716,-0.00915962943145852,-0.169306674095173,-0.197701440457943,0.0114631946526972,-0.137145849689733,-0.344168119152898,-0.342847319959634,-0.0864858443519901,-0.24982024039842,-0.670228693140472,-0.686678376635417,-0.585119542884541,-0.955698901235487,-0.757447326595359,-1.49196276300881,-1.52598303253656,-0.357812788925107,-0.24293372443304
"KAB. BEKASI",0.405604812668579,0.501908348838048,0.586216283613345,0.209060023148966,-0.174301269963679,0.0494490749724192,0.964396885019101,1.66128242479051,1.341059647205,1.86936586334953,0.987384759669947,-0.614732049759414,-0.653118907100604,-0.996284627073678,-0.581557171468324,-1.16590781086308,-0.778132637172151,0.00892387738325492,-0.314742730998936,-0.280755741410639
"KAB. BOGOR",0.682880670583996,0.581425311348612,0.961761090303145,1.38107393900276,1.60411168760033,0.683521077232394,0.791149553503862,1.8537887533758,2.04534109287119,0.513016562998475,-0.215453434840966,-0.881115937988493,-0.943967643068989,-0.752155358336378,-0.891191706448045,-1.02002906648175,-1.0974776934675,-0.901311615708726,-0.257315987097376,-0.602242885720231
"KAB. CIAMIS",-0.537133104243841,-0.540647381856015,-0.567897024750428,-0.529216459278622,-0.470703429557682,-0.458977323153091,-0.506912542326736,-0.57052171430263,-0.588221972572056,-0.625241330027408,-0.593488295972967,0.750485377414617,0.80112477274132,1.00814515834836,0.824699674897913,0.584637121712862,2.47167293571581,1.65091731590212,0.618441857401419,-0.413132800832236
"KAB. CIANJUR",-0.509405518452299,-0.487636073515639,-0.485460359867302,-0.464617267066208,-0.384902804412049,-0.391771534895121,-0.442268015641945,-0.623408068309576,-0.646287730060491,-0.627233032377409,-0.696588712645331,0.850379335500523,0.778751793051444,0.455642076469212,0.257036360768423,0.0157100186256813,0.217472538336878,0.276640198880896,0.273881393992057,1.30776897164852
"KAB. CIREBON",-0.500162989855119,-0.522976945742557,-0.512939248161677,-0.455388811035863,-0.416103031737734,-0.333331719018626,-0.390552394294113,0.133924521069899,-0.26043140610508,0.0808171530481396,1.22795239857213,0.517399475214173,0.252986770339364,0.661224618563781,0.502163700960702,0.409582628455268,-0.609067607368731,-0.4729655013125,-1.01822034379305,-1.07501809794022
"KAB. GARUT",-0.463192875466396,-0.46996563740218,-0.531258507024594,-0.492302635157243,-0.478503486389103,-0.359629636163049,-0.429339110304987,-0.513404451975127,-0.575110349913377,-0.478851207302294,-0.31855385151333,0.0179296847846496,0.0628164429754205,0.622677891921049,0.785995358025448,0.497109875084065,-0.0267325047125067,-0.722834068043632,-0.573163078555958,0.210930479298149
"KAB. INDRAMAYU",-0.509405518452299,-0.505306509629098,-0.485460359867302,-0.455388811035863,-0.338102463423523,-0.441445378390142,-0.499155199124561,-0.60013807254652,-0.650033907962971,-0.569473664227364,-0.524754684858058,0.373108202423422,0.499089546927997,0.468490985350123,0.179627727023492,-0.14475660019378,1.41971275027231,0.847768351409198,0.0441744183858155,-0.413132800832236
"KAB. KARAWANG",-0.574103218632563,-0.575988254082933,-0.613695171907721,-0.603044107521381,-0.439503202231997,-0.333331719018626,-0.25867755985714,-0.0437736283934419,-0.00569130873645959,0.0668752365981288,0.506249481865582,1.57183569945428,-2.30871940415141,-2.38396678621202,-2.43936438134665,0.0594736419400799,-0.233367541138909,0.0803148964492923,-0.0419656974665248,-0.205111707455441
