"KabupatenKota","LANSIA._.KOMORBID","LANSIA._.UNIMORBID","MUDA._.KOMORBID","MUDA._.UNIMORBID","TUA._.KOMORBID","TUA._.UNIMORBID","Rt_Hasan_10Mei2020","Rt_Hasan_13Mei2020","Rt_Hasan_1Juni2020","Rt_Hasan_12Juni2020","Rt_Hasan_3Juli2020","Rt_Hasan_20Agustus2020","Rt_Hasan_1September2020","Rt_Hasan_1Oktober2020","Rt_Hasan_19Oktober2020"
"KAB. BANDUNG",0.76605469646613,1.36762254301563,0.579293674076038,1.26679993711944,0.64598305789067,1.13971946214139,1.06969724457666,0.322311629883663,0.315239625248045,-0.817446049660255,0.27218850162886,-0.681426997115022,0.523841428067144,2.03249153697456,0.26350170473648
"KAB. BANDUNG BARAT",0.234730931639169,-0.03358773068777,0.393674926396744,0.214975173634226,0.152526769217044,0.0259972272272306,-0.185938715746232,0.0950092407945152,-0.373496131088754,-1.00060662790917,-0.746925303400808,-1.30304333473831,-0.935268381339313,-0.378533920443346,0.938909953561928
"KAB. BEKASI",0.383443833207585,0.831482107369034,1.92281984775474,1.69987064364947,1.5345777366119,1.7841394449997,0.784237240329609,1.32775825550435,-0.46276422835217,0.886043538533654,-1.21076296915323,-0.113144442551874,-0.510528492428672,0.23806049112487,-0.360339514135791
"KAB. BOGOR",2.25246180486112,2.52394705016694,3.03063967517401,3.01736543158913,2.97947748730567,2.87597196356355,0.0468852757381263,-0.499677345548313,0.00802726706135338,-0.829068032615486,0.0837922897827083,-0.686058719356589,-0.607145771897094,0.15180218768908,0.465414329724858
"KAB. CIAMIS",-0.396216039092848,-0.329672493797106,-0.56093577595391,-0.708870911404118,-0.622815646529914,-0.684091904682006,0.259185308644695,-0.0799886434728417,0.513474923407647,0.345075919499891,0.395248993360602,-0.990434580513343,0.282631176349762,1.51157073294891,-1.545890594751
"KAB. CIANJUR",-0.347848250718654,-0.248043904946408,-0.0482744728396697,-0.119254857131038,-0.199053058148149,-0.323906572008755,1.75413282367134,2.4096511154411,1.49729149004733,-0.263047189949237,0.0601448728593587,-0.00775746980788389,0.166671064753214,-0.693570666002171,-0.552633227118915
"KAB. CIREBON",0.820919650442827,0.674021042485439,0.979994462717053,0.558346538574266,1.01871990141589,0.735754696767523,1.07010208141227,0.313219034253923,1.90836343539438,1.57359044869472,0.310640733367002,-0.830104874669882,-0.901827858355005,-0.130185094328879,-0.578595188019619
"KAB. GARUT",-0.530490794877922,-0.426757383495273,-0.581560081251609,-0.425489551986048,-0.624060176892269,-0.615437794310585,0.59547080386679,0.0510330176104352,-0.0889599532732555,0.592424110946327,-0.504641877607953,0.410493917130457,-0.902827372784033,0.828357221779451,-0.228089419155176
"KAB. INDRAMAYU",-0.414985628611192,-0.445111740751643,-0.00702586224427112,-0.282084872119243,0.0274514678004002,-0.154095439109395,0.896763101807817,0.592756877317365,0.94181346584663,0.682321664982516,0.203534953648186,-0.588909483707145,-0.868995735047391,-0.569423222101651,-1.25679346168281
"KAB. KARAWANG",-0.408488463008688,-0.0345537494907369,0.157968580137323,0.53320786959363,0.131992018238192,0.469429814505441,-1.16123312107196,-1.21934607986084,2.12932585052888,1.03705093404057,1.61160499590527,0.50850553089609,1.59287219434757,-0.243455672333556,-0.167694494544405
"KAB. KUNINGAN",-0.404878926562853,-0.202158011805483,-0.622808691847008,-0.635168904619983,-0.571789901673373,-0.504994225452212,0.0844933992918917,-0.167312702589657,0.992628986979119,-0.50998408913099,0.335086997286766,-1.29958449969033,0.411154421202833,3.04210075725472,-1.109921911113
"KAB. MAJALENGKA",-0.471294397166223,-0.305039014321452,-0.516740836030268,-0.570608232010624,-0.513296974642703,-0.398198942652224,-1.50354213454744,-1.52280321672432,-0.0918826453781095,-0.103915773945413,-0.806518583156312,0.495940490104564,1.88431878692196,-0.3181927939881,-1.5851772783866
"KAB. PANGANDARAN",-1.30437540886502,-1.34737330272267,-1.25332316809096,-1.27220562992472,-1.24508082770725,-1.25057123083846,-1.90997101650643,-1.8760698859493,-1.17303770181902,0.90593676468653,2.75678040238957,1.30711832746129,2.77020524685062,-0.324626764468756,1.4596696776985
"KAB. PURWAKARTA",-0.469128675298722,-0.66922810303995,-0.366478040289888,-0.44034422002006,-0.304838138948296,-0.420088659002532,1.03356283374322,0.481229409067848,-0.718115282171585,-1.75312985765809,0.254831128744469,0.277197940449811,-0.801469090289146,0.201193566609548,0.917290746112677
"KAB. SUBANG",-0.720352411928861,-0.562483025312114,-0.569774763938638,-0.579178232799477,-0.564322719499245,-0.365696030495706,1.36447307959124,1.77113529988348,-0.0116272299136098,1.29557222188866,-0.516555098155455,2.67974757561128,-0.898161258783545,-0.577485029292292,0.463488295327903
"KAB. SUKABUMI",0.0347626125398911,0.568724992962054,0.0990419935724682,0.394373856814213,0.106479145809922,0.416032173105447,1.14009241319865,0.657005345770743,-0.0423121347117546,1.57121759121022,-0.546725996916629,0.0387803520246316,0.942405108740087,0.903596380229675,0.419028408127899
"KAB. SUMEDANG",-0.510277390781245,-0.359619076689078,-0.740661864976718,-0.642024905251065,-0.713044097800627,-0.64362909567083,-0.11844540510944,0.448748888658246,-0.0810720667539004,-0.710224153246652,-0.425212671660542,-0.883993712029374,-0.737310273846733,-0.353756974103158,-1.23359235430908
"KAB. TASIKMALAYA",-0.819253710544749,-0.677922272266651,-0.852622379449943,-0.824851588746594,-0.825674095593725,-0.78160064115156,-1.85841213836984,-1.80359514275708,-2.12241765678711,-1.64561864071195,-0.880315097563659,-0.995863857331826,-1.27254252547685,-0.624926705343446,1.1622608017119
"KOTA BANDUNG",2.45170821667123,2.45004661173997,0.853302301602614,1.2125232654567,1.1282385733031,1.41334091652024,-0.550398703034499,0.662019780040058,-0.218794534728605,-0.641370192803298,-0.18579818878887,0.41084794325298,-0.844220652660663,-0.736164419431575,0.40529546754993
"KOTA BEKASI",1.46630476695819,0.832448126172001,0.750180775114118,0.666328548513812,1.15499597609373,0.813363691100433,-0.234712474666557,0.0992909918535467,0.0893071685941241,0.00867371392840651,0.353786347809339,0.237864094599454,-0.377655189575947,-0.349829661273164,-0.646762102522344
"KOTA BOGOR",0.0405378708532276,-0.140332808415606,-0.142557011343438,-0.0466955171187497,-0.22456593057642,-0.219764588160319,-0.927220658300204,-0.356008772261534,-0.412314770017943,1.58917508506746,0.151068240526818,0.206157118412634,-0.138006727743509,-0.651241649549613,-0.0139180726036173
"KOTA CIMAHI",-0.236674528186926,-0.668745093638466,-0.587452739908095,-0.650594906039918,-0.579879349028678,-0.726876350275789,-0.154161888354916,0.0832642725225236,-1.60884114074921,-0.188644477285396,0.0678025162886988,-0.174068705767848,0.475938544387455,0.777315172097726,0.624111056940686
"KOTA CIREBON",-0.915267380003969,-1.162863711356,-0.991099857877352,-1.0071069388562,-0.986840777518654,-1.07810679898755,-1.19039631653485,-0.942706463986412,1.11411900087817,0.163497159193306,2.19255621749995,-0.636390657614577,0.917595794824309,-1.17185732644121,1.69849762828462
"KOTA DEPOK",1.59408235714076,0.617508942511879,1.12731092912919,0.665185881741965,1.21660022903029,0.613371282627164,0.162466895685588,0.157926015509941,-0.545342907537591,-0.00863642933684801,-0.139515085809315,-0.406554400410896,0.00622089689701251,-0.405567335441694,0.954882441699557
"KOTA SUKABUMI",-1.12823003030825,-1.1599656549471,-1.01761682183154,-0.938546932545376,-1.09387038868116,-1.03432736628693,-0.230386953074419,-0.529098932339442,-0.826377315580044,-0.640097863344144,-1.441924728513,2.45876674878042,0.323669377904274,-0.894237864182922,-1.68568777229855
"KOTA TASIKMALAYA",-0.967244704823998,-1.09234433873943,-1.03529479780099,-1.08595094611365,-1.02791027947636,-1.08573503347326,-0.236742976241115,-0.475751988621996,-0.732235515123025,-1.53878977507532,-1.64417159037182,0.565915696581283,-0.501564711018337,-1.263432947983,1.19274487916396
