"KabupatenKota","LANSIA._.KOMORBID","LANSIA._.UNIMORBID","MUDA._.KOMORBID","MUDA._.UNIMORBID","TUA._.KOMORBID","TUA._.UNIMORBID","Rt_Susanto_10Mei2020","Rt_Susanto_13Mei2020","Rt_Susanto_1Juni2020","Rt_Susanto_12Juni2020","Rt_Susanto_3Juli2020","Rt_Susanto_20Agustus2020","Rt_Susanto_1September2020","Rt_Susanto_1Oktober2020","Rt_Susanto_19Oktober2020"
"KAB. BANDUNG",0.76605469646613,1.36762254301563,0.579293674076038,1.26679993711944,0.64598305789067,1.13971946214139,-0.359447490206546,-0.440575600046784,-0.289594638623599,-0.452542781893439,-0.232283846822577,-0.59028260405724,-0.205249179814858,1.03478575068773,0.0785534198765519
"KAB. BANDUNG BARAT",0.234730931639169,-0.03358773068777,0.393674926396744,0.214975173634226,0.152526769217044,0.0259972272272306,-0.670228693140472,-0.686678376635417,-0.585119542884541,-0.955698901235487,-0.757447326595359,-1.49196276300881,-1.52598303253656,-0.357812788925107,-0.24293372443304
"KAB. BEKASI",0.383443833207585,0.831482107369034,1.92281984775474,1.69987064364947,1.5345777366119,1.7841394449997,-0.614732049759414,-0.653118907100604,-0.996284627073678,-0.581557171468324,-1.16590781086308,-0.778132637172151,0.00892387738325492,-0.314742730998936,-0.280755741410639
"KAB. BOGOR",2.25246180486112,2.52394705016694,3.03063967517401,3.01736543158913,2.97947748730567,2.87597196356355,-0.881115937988493,-0.943967643068989,-0.752155358336378,-0.891191706448045,-1.02002906648175,-1.0974776934675,-0.901311615708726,-0.257315987097376,-0.602242885720231
"KAB. CIAMIS",-0.396216039092848,-0.329672493797106,-0.56093577595391,-0.708870911404118,-0.622815646529914,-0.684091904682006,0.750485377414617,0.80112477274132,1.00814515834836,0.824699674897913,0.584637121712862,2.47167293571581,1.65091731590212,0.618441857401419,-0.413132800832236
"KAB. CIANJUR",-0.347848250718654,-0.248043904946408,-0.0482744728396697,-0.119254857131038,-0.199053058148149,-0.323906572008755,0.850379335500523,0.778751793051444,0.455642076469212,0.257036360768423,0.0157100186256813,0.217472538336878,0.276640198880896,0.273881393992057,1.30776897164852
"KAB. CIREBON",0.820919650442827,0.674021042485439,0.979994462717053,0.558346538574266,1.01871990141589,0.735754696767523,0.517399475214173,0.252986770339364,0.661224618563781,0.502163700960702,0.409582628455268,-0.609067607368731,-0.4729655013125,-1.01822034379305,-1.07501809794022
"KAB. GARUT",-0.530490794877922,-0.426757383495273,-0.581560081251609,-0.425489551986048,-0.624060176892269,-0.615437794310585,0.0179296847846496,0.0628164429754205,0.622677891921049,0.785995358025448,0.497109875084065,-0.0267325047125067,-0.722834068043632,-0.573163078555958,0.210930479298149
"KAB. INDRAMAYU",-0.414985628611192,-0.445111740751643,-0.00702586224427112,-0.282084872119243,0.0274514678004002,-0.154095439109395,0.373108202423422,0.499089546927997,0.468490985350123,0.179627727023492,-0.14475660019378,1.41971275027231,0.847768351409198,0.0441744183858155,-0.413132800832236
"KAB. KARAWANG",-0.408488463008688,-0.0345537494907369,0.157968580137323,0.53320786959363,0.131992018238192,0.469429814505441,1.57183569945428,-2.30871940415141,-2.38396678621202,-2.43936438134665,0.0594736419400799,-0.233367541138909,0.0803148964492923,-0.0419656974665248,-0.205111707455441
"KAB. KUNINGAN",-0.404878926562853,-0.202158011805483,-0.622808691847008,-0.635168904619983,-0.571789901673373,-0.504994225452212,0.939173964910216,0.991295100105264,0.40424644094557,0.489262262003214,0.599224996150995,0.123547521779422,0.205249179814858,1.83876016530958,-1.05610708945142
"KAB. MAJALENGKA",-0.471294397166223,-0.305039014321452,-0.516740836030268,-0.570608232010624,-0.513296974642703,-0.398198942652224,1.53853771342564,1.34926277514328,1.40646133365659,1.14723564883512,2.24765480766001,0.198687535025387,1.29396222057193,0.173384592164326,-0.356399775365838
"KAB. PANGANDARAN",-1.30437540886502,-1.34737330272267,-1.25332316809096,-1.27220562992472,-1.24508082770725,-1.25057123083846,-2.33512799457222,1.84146832832054,1.93326659777392,0.824699674897913,0.759691614970456,2.60316795889625,3.02519443292335,-2.33903545352894,2.61262855737569
"KAB. PURWAKARTA",-0.469128675298722,-0.66922810303995,-0.366478040289888,-0.44034422002006,-0.304838138948296,-0.420088659002532,-0.0930636019774669,-0.138540374233461,-0.0454653698862988,0.011909020576143,0.394994754017135,-0.0455175080239978,-1.15118018243986,2.47045434822674,0.0218203944101532
"KAB. SUBANG",-0.720352411928861,-0.562483025312114,-0.569774763938638,-0.579178232799477,-0.564322719499245,-0.365696030495706,-0.0486662872726203,-0.104980904698648,-0.199652276457225,-0.000992418381345373,-0.582392833337765,0.781022637681612,-0.580052029911556,0.91993226288461,1.98856527724531
"KAB. SUKABUMI",0.0347626125398911,0.568724992962054,0.0990419935724682,0.394373856814213,0.106479145809922,0.416032173105447,-0.0375669585964089,-0.09379441485371,0.00593026563734342,0.0764162153635851,-0.378162591203905,0.668312617812665,0.651443048977594,0.604085171426028,-0.24293372443304
"KAB. SUMEDANG",-0.510277390781245,-0.359619076689078,-0.740661864976718,-0.642024905251065,-0.713044097800627,-0.64362909567083,0.473002160509326,0.734005833671693,0.442793167588302,0.824699674897913,1.28485509474324,-0.796917640483642,-0.294487953647406,-0.156819185269645,-1.26412818282822
"KAB. TASIKMALAYA",-0.819253710544749,-0.677922272266651,-0.852622379449943,-0.824851588746594,-0.825674095593725,-0.78160064115156,1.61623301415913,1.59536555173191,2.10030241322576,2.0632378148168,2.24765480766001,-0.177012531204436,-0.580052029911556,0.776365403130709,0.929548801872531
"KOTA BANDUNG",2.45170821667123,2.45004661173997,0.853302301602614,1.2125232654567,1.1282385733031,1.41334091652024,-0.903314595340917,-0.921594663379113,-0.906342264907305,-1.3814463868326,-1.22425930861561,-1.05990768684452,-0.812072841876179,-1.11871714562078,-0.432043809321036
"KOTA BEKASI",1.46630476695819,0.832448126172001,0.750180775114118,0.666328548513812,1.15499597609373,0.813363691100433,-1.02540721077924,-0.98871360244874,-0.854946629383662,-0.904093145405534,-0.961677568729219,-0.909627660352589,-0.990550389541273,-0.96079359989149,-1.15066213189542
"KOTA BOGOR",0.0405378708532276,-0.140332808415606,-0.142557011343438,-0.0466955171187497,-0.22456593057642,-0.219764588160319,-0.914413924017128,-0.876848703999361,-0.700759722812736,-0.465444220850928,-0.874150322100422,-0.59028260405724,-0.526508765612028,-0.314742730998936,-0.450954817809835
"KOTA CIMAHI",-0.236674528186926,-0.668745093638466,-0.587452739908095,-0.650594906039918,-0.579879349028678,-0.726876350275789,-0.681328021816684,-0.597186457875914,-0.752155358336378,-0.542852854595858,-0.567804958899632,-0.101872517958471,0.240944689347877,-0.156819185269645,0.0218203944101532
"KOTA CIREBON",-0.915267380003969,-1.162863711356,-0.991099857877352,-1.0071069388562,-0.986840777518654,-1.07810679898755,1.72722630092124,1.57299257204203,0.635526800801959,1.67619464609215,1.22650359699071,0.0296225052219667,0.0803148964492923,-0.845940112088369,0.362218547208545
"KOTA DEPOK",1.59408235714076,0.617508942511879,1.12731092912919,0.665185881741965,1.21660022903029,0.613371282627164,-0.958811238721975,-0.955154132913926,-1.08622698924005,-1.13631904664033,-1.29719868080627,-0.872057653729607,-0.829920596642688,-0.587519764531348,-0.280755741410639
"KOTA SUKABUMI",-1.12823003030825,-1.1599656549471,-1.01761682183154,-0.938546932545376,-1.09387038868116,-1.03432736628693,-0.670228693140472,-0.67549188679048,-0.585119542884541,-0.517049976680881,-1.07838056423428,0.518032591320736,1.2225712015059,-0.745443310260638,-0.999374063985022
"KOTA TASIKMALAYA",-0.967244704823998,-1.09234433873943,-1.03529479780099,-1.08595094611365,-1.02791027947636,-1.08573503347326,-0.18185823138716,-0.09379441485371,-0.00691864324356713,0.60537521262061,-0.0426414791268501,0.348967561517316,0.00892387738325492,1.03478575068773,1.93183225177891
