"KabupatenKota","LANSIA._.KOMORBID","LANSIA._.UNIMORBID","MUDA._.KOMORBID","MUDA._.UNIMORBID","TUA._.KOMORBID","TUA._.UNIMORBID","Rt_Hasan_10Mei2020","Rt_Hasan_13Mei2020","Rt_Hasan_1Juni2020","Rt_Hasan_12Juni2020","Rt_Hasan_3Juli2020","Rt_Hasan_20Agustus2020","Rt_Hasan_1September2020","Rt_Hasan_1Oktober2020","Rt_Hasan_19Oktober2020"
"KAB. BANDUNG",3079,6325,646,4662,3242,7870,1.07110773011632,0.886183060930404,0.73602805728875,0.456327681320194,0.861907958337855,0.698293167152109,1.54783712063314,2.96539160682438,0.979059837787549
"KAB. BANDUNG BARAT",2343,3424,583,2821,2449,4512,0.62088153159889,0.795506240188149,0.56313213040549,0.389442683459776,0.438284177159555,0.433933768956566,0.702139635261866,1.13114419505748,1.24530747018597
"KAB. BEKASI",2549,5215,1102,5420,4670,9813,0.968751970483671,1.28728180785803,0.540722824259468,1.07839329473377,0.245476794069265,0.939970911182678,0.948318129623932,1.60023368560984,0.733140058445006
"KAB. BOGOR",5138,8719,1478,7726,6992,13105,0.704363897445358,0.558270330773738,0.65890738375034,0.452083665972972,0.783595688179164,0.696323400223088,0.892318923969153,1.53461054200772,1.05865430298396
"KAB. CIAMIS",1469,2811,259,1204,1203,2371,0.78048710495215,0.72569504354577,0.785791809643613,0.880847412385346,0.913061569017816,0.566879216390498,1.40803208196635,2.56908818597918,0.265792837190138
"KAB. CIANJUR",1536,2980,433,2236,1884,3457,1.31652187772215,1.7188769411777,1.03276298197969,0.658778268122762,0.773765963448983,0.984789612053335,1.34082180474913,0.891472177752611,0.657337392581963
"KAB. CIREBON",3155,4889,782,3422,3841,6652,1.07125289014301,0.882555788611342,1.13595591824381,1.3294657364934,0.877891727494217,0.635063821563041,0.721521703708677,1.32008172374026,0.647103122221402
"KAB. GARUT",1283,2610,252,1700,1201,2578,0.90106706993775,0.77796298372453,0.634560317112227,0.971171888393444,0.538996207989334,1.16266248677253,0.720942386899365,2.04931656320716,0.785273378898655
"KAB. INDRAMAYU",1443,2572,447,1951,2248,3969,1.0090997244897,0.994070687278769,0.893319244706237,1.00399990065925,0.833370148876985,0.737638777437334,0.740551144770377,0.985920424639179,0.379755655006521
"KAB. KARAWANG",1452,3422,503,3378,2416,5849,0.271175799666681,0.271175799666681,1.19142494423752,1.13353687105324,1.41867470713235,1.20434461393528,2.16744547704303,1.23390832233747,0.809081210257633
"KAB. KUNINGAN",1457,3075,238,1333,1285,2911,0.717848827023698,0.690859210597635,0.90607565606636,0.56860398427122,0.888053515810951,0.435404733434812,1.48252392917572,3.73347686013322,0.437652790070982
"KAB. MAJALENGKA",1365,2862,274,1446,1379,3233,0.148436016222056,0.150118874076973,0.63382662272245,0.716888504073627,0.413512527145347,1.19900098568598,2.33636741072563,1.17705020350841,0.250305927575168
"KAB. PANGANDARAN",211,704,24,218,203,663,0.00270513858373973,0.00919163363796431,0.362420203253116,1.08565773122656,1.89469959602408,1.54397661121908,2.84982564851987,1.1721554008985,1.45059226473939
"KAB. PURWAKARTA",1368,2108,325,1674,1714,3167,1.05815122127197,0.949579486430314,0.476621088979246,0.114642750565531,0.854692870193314,1.10597471644797,0.779689469589698,1.57218625846054,1.23678512417124
"KAB. SUBANG",1020,2329,256,1431,1297,3331,1.17680381385964,1.46415641500802,0.653973441464572,1.22794144189432,0.534044137367352,2.12772484951979,0.723646858386863,0.979787204880714,1.05789505537483
