"KabupatenKota","LANSIA._.KOMORBID","LANSIA._.UNIMORBID","MUDA._.KOMORBID","MUDA._.UNIMORBID","TUA._.KOMORBID","TUA._.UNIMORBID","Rt_Cori_10Mei2020","Rt_Cori_13Mei2020","Rt_Cori_1Juni2020","Rt_Cori_12Juni2020","Rt_Cori_3Juli2020","Rt_Cori_20Agustus2020","Rt_Cori_1September2020","Rt_Cori_1Oktober2020","Rt_Cori_19Oktober2020"
"KAB. BANDUNG",0.76605469646613,1.36762254301563,0.579293674076038,1.26679993711944,0.64598305789067,1.13971946214139,1.29237371670261,0.376056530120907,0.389972128416665,-0.0971729659129306,-1.72195544608694,-0.736754004821899,2.05533384253003,2.0337065802986,0.359773188972962
"KAB. BANDUNG BARAT",0.234730931639169,-0.03358773068777,0.393674926396744,0.214975173634226,0.152526769217044,0.0259972272272306,-0.387712115010784,-1.10377673435488,-0.950758494900133,-0.644580673889109,-1.25258371965357,-1.49574963997804,-1.28845377613991,-0.386607408659717,0.795196920089517
"KAB. BEKASI",0.383443833207585,0.831482107369034,1.92281984775474,1.69987064364947,1.5345777366119,1.7841394449997,0.56864443534915,0.77244044024835,-2.08199995832368,1.96613301030497,0.0472149073927061,0.383668123265743,0.476323022602556,-0.252583506991015,0.104524794870154
"KAB. BOGOR",2.25246180486112,2.52394705016694,3.03063967517401,3.01736543158913,2.97947748730567,2.87597196356355,0.801271704355621,0.640312470205869,-1.20214548677203,-0.0971729659129306,0.11942594222861,-0.736754004821899,0.0119080755650639,-0.32353733728621,-0.300869713410776
"KAB. CIAMIS",-0.396216039092848,-0.329672493797106,-0.56093577595391,-0.708870911404118,-0.622815646529914,-0.684091904682006,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,0.372164564154274,0.853522564076691,0.352479036725891,0.110069403406649,-0.511074273260147
"KAB. CIANJUR",-0.347848250718654,-0.248043904946408,-0.0482744728396697,-0.119254857131038,-0.199053058148149,-0.323906572008755,0.465254538012942,0.587461282188877,0.515665624352615,-0.0550646806839938,0.372164564154274,0.708951966904091,0.383440033195057,-0.213164712382573,1.23062065120607
"KAB. CIREBON",0.820919650442827,0.674021042485439,0.979994462717053,0.558346538574266,1.01871990141589,0.735754696767523,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,1.49143560411079,-2.14631732725474,-0.514428864410761,-0.899051738569459,-0.225796656321715
"KAB. GARUT",-0.530490794877922,-0.426757383495273,-0.581560081251609,-0.425489551986048,-0.624060176892269,-0.615437794310585,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,0.372164564154274,0.781237265490391,-0.731155839694924,0.464838554882624,-1.09664411855482
"KAB. INDRAMAYU",-0.414985628611192,-0.445111740751643,-0.00702586224427112,-0.282084872119243,0.0274514678004002,-0.154095439109395,-0.23262726900647,0.21750296606993,1.43741792788291,-1.61307123415465,-0.422156819040669,0.781237265490391,0.0119080755650639,-0.883284220726082,0.404817023226399
"KAB. KARAWANG",-0.408488463008688,-0.0345537494907369,0.157968580137323,0.53320786959363,0.131992018238192,0.469429814505441,0.387712115010785,0.561035688180381,-1.03455415885743,-0.265606106828678,-1.32479475448947,0.0945269289205449,0.321518040256725,-0.268351024834392,-0.315884324828588
